Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Shops,Price
4111,3,2,48,30,6,6,12.0,1972,3,183744.9522402997
12174,62,1,44,32,6,8,13.0,1977,3,133773.30172178228
1536,66,1,43,23,8,4,19.0,1997,3,218638.332450608
2574,159,2,43,29,6,5,8.0,1935,6,288674.66598856176
5810,8,1,43,19,8,8,14.0,2009,5,203558.79780449602
4617,27,1,40,24,10,8,19.0,2019,1,96245.51614622868
7185,50,2,39,26,6,7,9.0,1968,10,242067.73485957985
2833,70,1,35,21,6,9,9.0,1977,5,155814.3480442097
9106,32,3,63,48,6,11,9.0,1972,11,325461.157704322
3482,49,2,42,23,7,9,12.0,1973,5,218712.8880291168
6265,11,1,44,21,8,10,12.0,1977,1,183355.86239288465
16499,103,2,45,30,6,4,11.0,1970,3,225146.01933084626
9781,21,1,35,22,6,4,5.0,1967,5,151281.5993872346
10508,1,1,43,23,8,4,14.0,1988,1,139450.92630701596
15415,52,2,52,29,8,8,14.0,1989,5,198597.31064090444
6627,36,3,86,54,10,7,17.0,2008,3,85537.73540463713
15045,127,1,35,15,9,3,9.0,1962,6,150063.02483891492
8355,6,1,50,32,6,10,17.0,1977,3,137283.78224619754
14710,27,2,51,32,6,8,17.0,1977,3,149654.18549525086
12177,6,3,74,64,6,14,17.0,2017,3,207709.84985207857
11760,28,1,32,18,6,3,5.0,1967,3,141756.75371125556
643,83,3,63,40,7,4,9.0,1978,4,280930.70240196696
5486,21,1,32,19,6,6,9.0,1964,4,181779.72035129266
5715,22,1,32,19,6,4,5.0,1959,5,139400.08894951578
9450,9,1,38,19,8,5,17.0,1996,11,176552.02065422348
2510,27,1,38,24,8,14,14.0,2005,4,182642.3555182136
8192,27,3,84,50,8,7,9.0,1997,4,291518.5452160943
1182,27,1,38,32,6,18,19.0,2017,1,93560.78955317123
16266,6,2,61,62,6,16,17.0,1977,3,168514.43529645973
12216,1,2,67,32,6,6,17.0,1977,1,204406.32810804425
2329,29,1,35,22,9,4,9.0,1972,1,203629.57253165
10575,29,1,34,22,6,7,9.0,1966,2,97107.06214409883
16715,23,1,42,32,6,19,17.0,1977,2,112523.43097111225
13279,194,3,92,54,10,4,10.0,1956,3,478782.48842128884
3574,21,1,39,22,6,3,9.0,1972,5,148576.69268698507
627,58,1,36,22,8,18,16.0,1983,5,166891.6028484566
4608,1,1,48,22,9,10,25.0,2013,1,114009.31115208686
7979,6,1,47,32,6,20,25.0,1977,3,143413.3417424934
1451,52,1,42,18,7,2,17.0,2009,5,177126.69377839644
14707,41,3,83,45,12,19,17.0,2009,3,394235.91417352407
11415,47,3,82,32,6,6,17.0,2015,1,196429.6592377391
9070,99,1,41,21,9,10,14.0,1972,4,178829.1664497557
3746,62,1,46,32,6,11,12.0,2018,3,133721.12171464573
13727,27,3,47,47,6,10,25.0,1977,3,143244.41530669745
15661,45,3,81,32,6,15,13.0,1977,2,442472.4560317953
10091,2,3,61,38,6,2,9.0,1968,6,249400.9791719856
10190,8,2,52,30,7,6,14.0,1985,5,211197.30254892266
7027,128,2,54,34,8,7,14.0,1994,8,213343.6886695325
6812,27,1,41,32,6,11,13.0,1977,3,112236.13164735348
4935,23,1,28,32,6,12,11.0,1977,3,68375.61550845015
4703,27,3,80,42,6,7,14.0,2016,3,228740.42544231736
2424,8,3,80,48,12,12,14.0,2005,5,337450.04726223927
3145,58,1,40,32,6,3,1.0,1977,5,99930.02583559755
557,12,2,57,35,9,9,14.0,1995,15,239606.5015927873
10351,70,1,38,22,7,6,17.0,2003,5,246254.90218986355
10813,11,2,43,28,6,2,5.0,1962,5,184141.49177498734
14226,62,2,79,32,6,6,4.0,2015,3,180325.76601073227
1098,101,1,23,15,6,3,5.0,1967,2,132427.98762138336
12075,9,2,69,32,6,7,1.0,1977,4,184267.99732080448
203,33,4,101,22,9,4,5.0,1958,3,82342.77587335401
14687,62,1,41,32,6,7,15.0,1977,3,111851.66026592258
10887,187,1,44,32,6,5,4.0,1977,4,94691.9078949868
4687,57,3,63,42,8,5,12.0,1982,4,259788.2130944612
11490,74,2,76,32,6,7,22.0,1977,2,248611.5026762659
14914,1,1,40,20,9,8,17.0,2015,1,102568.34939325982
5650,6,2,62,32,6,20,25.0,1977,3,193368.61133151315
11111,99,3,60,39,6,9,9.0,1972,4,214211.36033263
16587,80,1,31,16,8,18,22.0,1990,5,155767.03096504026
11854,9,2,55,29,8,4,14.0,2004,3,62126.66561869497
14726,53,3,84,60,12,18,24.0,2017,3,359065.2872300612
8798,170,2,42,27,6,5,8.0,1962,7,213169.4442852474
1539,6,2,55,32,6,12,13.0,1977,3,146456.6459480883
13214,23,3,65,61,6,5,4.0,1977,3,131250.9158694752
4280,34,2,61,32,6,26,1.0,2014,11,286564.4419718113
3592,1,3,86,32,6,17,17.0,1977,1,275544.2431116402
10636,27,2,59,32,6,5,13.0,1977,1,149782.29254658072
16543,205,1,43,18,8,12,12.0,2007,5,220501.566180364
849,62,2,62,64,6,10,1.0,2017,3,158591.394110587
5653,27,2,72,41,13,5,12.0,2012,3,139012.87648175194
7181,27,2,66,32,6,4,16.0,1977,3,178312.31128323273
15204,8,1,38,22,8,2,14.0,1998,5,156705.71013115242
12663,6,2,67,32,6,4,17.0,1977,3,183893.27255396885
12596,62,2,78,77,6,13,17.0,2016,3,209682.66546351282
13290,103,3,67,46,7,16,16.0,1985,3,347550.76680882
2458,48,1,38,32,6,25,24.0,2014,10,204576.4216359203
8997,74,1,43,32,6,9,17.0,2016,2,154565.2719404948
11866,28,2,47,30,6,5,5.0,1977,3,152641.39877725413
12685,23,1,43,41,6,16,17.0,1977,2,108406.114816501
15853,54,3,58,41,6,3,5.0,1967,6,246473.4388291688
16104,27,1,41,32,6,5,19.0,2014,1,94519.89966429867
3533,120,2,43,28,6,3,9.0,1970,11,294050.4068172783
13205,41,2,55,34,8,12,12.0,1983,3,251414.5821305725
13559,79,1,96,49,22,19,24.0,2016,1,348962.8612944252
11678,105,1,34,18,6,8,9.0,1975,2,177058.1307257502
6831,27,1,40,32,6,12,12.0,1977,3,110733.75059936187
16493,21,3,78,46,10,6,12.0,1973,4,368975.3489368432
4116,88,2,46,31,6,4,9.0,1973,9,195581.3299508633
1185,1,3,74,77,6,16,17.0,2015,1,228164.8026455539
12961,123,4,116,70,11,4,23.0,2005,4,445424.56422934897
1724,74,1,36,32,6,3,17.0,1977,2,127047.78755267592
10848,17,3,80,50,10,16,16.0,1981,9,387511.73860985687
2737,27,3,123,125,6,5,10.0,2015,3,234194.8370472659
3921,39,1,32,22,6,3,9.0,1969,2,152631.0902906402
6487,30,2,75,42,14,4,1.0,1977,23,132039.42225783187
3235,142,3,57,39,6,1,5.0,1961,3,234382.7450872943
16519,47,1,36,17,6,2,12.0,1977,3,156261.31116247847
1013,99,3,62,46,6,10,9.0,1973,4,219896.8919828708
5444,59,3,101,32,6,17,23.0,1977,5,546812.0999412654
14244,30,1,40,32,6,17,22.0,1977,23,126751.45108778682
1776,17,3,69,49,6,4,9.0,1962,4,145985.62439632366
8945,39,1,40,22,8,9,21.0,1992,2,173183.97498035472
2275,176,2,55,35,8,13,16.0,1981,9,255449.0554903325
470,101,2,45,28,6,4,5.0,1965,2,177258.1631392962
12487,130,3,71,45,7,16,16.0,1969,7,229983.57792032746
828,90,1,52,10,6,7,5.0,1968,2,128808.08735682785
2093,13,1,42,20,8,14,12.0,2004,15,179353.50296131548
3787,34,2,58,32,6,22,1.0,1977,11,283312.67099065625
2130,1,1,45,32,6,15,22.0,1977,1,156425.35115085164
13113,27,1,37,32,11,6,13.0,2015,3,137402.09252881786
6429,15,3,78,49,12,4,14.0,2005,3,310494.8067512488
4178,96,3,74,48,10,6,17.0,1994,4,275636.6453073813
8608,27,2,62,32,6,2,13.0,1977,3,188644.9077654829
14820,9,1,44,24,8,14,14.0,1989,1,155126.94804713604
3171,62,1,35,32,6,25,13.0,1977,3,134379.13096154894
9240,90,1,46,18,11,13,22.0,2012,2,113913.68795907627
9868,90,2,70,38,14,11,20.0,2008,3,349187.7338312828
527,23,2,61,32,6,4,17.0,1977,2,164174.45695070454
0,0,1,109,84,15,6,15.0,2011,8,289034.39187133923
14565,53,1,39,32,6,4,19.0,1977,3,203671.17529058503
8801,25,3,81,58,15,9,22.0,2018,11,345028.2418834678
1963,1,1,40,20,9,6,17.0,2015,1,71738.98103424767
12939,57,2,45,29,6,7,5.0,1966,4,165476.80710446846
10739,99,2,45,32,6,4,5.0,1971,8,171266.94942738526
9273,9,1,43,41,6,12,1.0,2017,4,140371.21052947227
773,77,3,52,37,6,5,9.0,1977,16,234024.6271059259
2642,31,2,46,28,6,6,5.0,1961,1,224385.77010075536
12779,101,1,41,27,6,8,12.0,1971,2,200567.6729127241
8763,47,2,57,35,8,6,16.0,1980,3,220920.37409393085
2934,90,2,46,26,6,3,5.0,1967,2,183490.32464657628
14896,6,1,38,32,6,8,17.0,1977,3,142811.25224903118
3890,3,2,46,31,6,5,5.0,1963,3,161778.43262582144
7492,37,2,58,29,7,12,12.0,1980,3,237718.7208302741
15120,27,2,65,56,6,2,1.0,1977,3,148624.36135552294
4504,27,3,52,32,6,8,19.0,2016,1,161379.06703421788
9096,6,1,41,40,6,13,25.0,2017,3,141432.02629460994
1855,30,3,80,45,10,25,25.0,1983,23,384342.6881465891
823,15,2,65,35,12,6,12.0,2006,3,252415.7648672629
10565,52,2,56,32,6,13,17.0,1977,5,168671.13851317595
4155,9,2,60,63,6,11,18.0,1977,4,177896.14456112593
10204,8,2,40,23,6,10,12.0,1970,5,166642.5713515241
10053,121,2,55,32,11,7,16.0,1984,7,297720.313290514
4563,15,1,46,23,10,16,24.0,2011,3,125278.35291169993
7967,9,1,37,21,7,12,17.0,1993,11,187899.22196065105
13326,89,3,75,49,7,10,9.0,1961,1,469497.5351864895
12757,57,3,78,47,10,19,22.0,2000,15,350921.83441516163
290,58,1,44,32,6,6,17.0,1977,5,130633.19950495733
15911,169,2,52,29,8,11,12.0,1979,9,252355.6069306068
1398,9,1,39,20,8,4,14.0,1993,4,146525.63401285224
8203,98,2,47,32,6,4,5.0,1962,2,189565.89794984864
11794,48,3,95,32,6,20,1.0,2014,10,471527.409281291
9587,80,2,49,30,6,8,9.0,1979,5,207383.6688981705
474,62,1,45,44,6,6,1.0,2017,3,124727.43119879268
340,103,4,100,59,10,3,14.0,2003,3,593618.746095871
12863,27,1,36,38,6,2,12.0,1977,3,88623.96004642283
6006,62,3,121,122,6,3,3.0,1977,3,193847.6420158582
11821,27,1,41,32,6,14,19.0,1977,1,97494.67539860883
9811,21,1,31,21,6,5,5.0,1961,4,147662.6077076121
2255,8,3,71,48,8,12,14.0,1977,5,256118.73714274704
2958,163,2,40,29,6,5,5.0,1964,19,197635.33616778665
4443,27,2,62,32,6,11,17.0,1977,3,159778.67598226946
6598,77,2,48,33,6,8,12.0,1976,16,212077.274792156
14351,113,1,42,22,8,8,12.0,1984,7,246354.0826502177
14990,23,2,48,32,6,6,5.0,1972,2,141780.23185650609
2119,27,2,49,31,6,6,5.0,1983,3,117000.38128669599
15887,6,3,77,32,12,4,17.0,1977,3,207923.6800613399
6572,13,1,41,21,7,11,17.0,2002,15,175032.09742025455
5978,83,2,55,34,9,8,17.0,1987,4,280005.2519777549
4026,66,3,75,48,7,5,5.0,1954,7,199227.6938712229
15128,27,1,40,19,10,16,18.0,2015,3,126580.50749792965
759,29,1,36,20,6,7,5.0,1963,2,80888.40955893055
4470,62,3,89,32,6,13,15.0,1977,3,191229.0989105802
14531,6,2,62,32,6,15,17.0,1977,3,180371.0167484343
3671,108,2,59,37,8,5,9.0,1956,1,386773.83686416346
3023,96,1,38,23,8,16,17.0,1997,4,171460.99676625454
3261,27,3,85,32,6,5,13.0,1977,3,235848.91066042212
6666,1,3,79,32,6,6,17.0,1977,1,240054.438797518
6604,124,2,45,28,6,4,9.0,1970,3,214944.6195994289
695,88,3,92,32,6,13,22.0,1977,9,328241.7478354388
4237,22,2,52,33,9,8,17.0,2011,4,205768.69195588704
16048,108,2,47,30,6,3,5.0,1963,1,224610.68583930077
9164,59,1,39,20,8,16,17.0,1986,5,216252.1745381247
5097,44,1,41,22,8,7,14.0,1977,3,209827.81306987046
11690,132,2,55,32,6,1,4.0,1977,7,260146.7256950457
9359,99,3,51,35,6,2,9.0,1973,4,201925.40398792934
12240,3,1,41,19,8,7,17.0,1983,3,153918.52824728267
1082,27,2,43,26,7,5,9.0,1983,1,91024.13400324773
919,75,2,45,29,6,4,5.0,1964,3,196250.25705304148
15687,27,1,34,32,6,8,17.0,1977,3,111624.04772921118
6847,62,3,96,32,6,3,3.0,1977,3,223423.76946882703
1154,34,2,61,61,10,18,25.0,2019,11,260051.7579922333
7798,94,1,45,42,11,3,1.0,2017,6,203306.8394720209
3773,89,3,79,45,10,9,17.0,1998,6,423357.5707034968
2679,186,1,42,20,10,8,17.0,1982,19,253077.2231201775
370,6,3,82,78,6,27,25.0,1977,3,211498.63762749697
16396,27,2,66,60,6,15,19.0,2017,3,186873.21872841415
9295,61,1,38,17,7,2,12.0,1992,9,201723.0467316861
10377,21,2,38,24,6,6,9.0,1970,5,129466.24278121088
15649,48,2,83,81,6,7,1.0,2016,10,388274.79549257655
1175,27,3,83,32,6,3,17.0,1977,3,236682.20464910948
14581,6,1,41,39,6,9,17.0,2017,3,126752.44932236268
3207,52,3,80,81,6,10,17.0,1977,5,181796.47620671164
6501,23,3,70,32,6,4,4.0,1977,3,130704.4388946574
11352,44,2,44,29,6,3,9.0,1971,3,221886.46594213566
3809,6,1,53,54,6,7,1.0,1977,3,129606.28290529865
6005,57,3,92,51,11,22,23.0,2007,4,451014.5784774851
9083,27,1,42,40,10,12,17.0,2016,3,106518.42161168413
15997,138,2,36,22,6,7,9.0,1968,2,214654.84228591414
14001,73,1,44,44,6,7,24.0,2014,5,381937.40416051116
13434,13,5,52,100,15,2,6.0,1997,15,622888.8253279161
6312,101,2,46,27,6,6,5.0,1966,2,169953.7988242263
6867,48,1,41,38,8,23,1.0,2013,10,217089.93446942847
8595,143,2,47,31,6,4,5.0,1962,1,210517.65412219602
644,23,2,64,36,12,16,17.0,2009,2,232449.69684412066
7122,37,1,38,18,8,5,17.0,1986,5,222147.33476268747
12625,48,1,38,19,8,2,16.0,1979,10,189991.99423758022
15173,30,2,62,32,6,19,21.0,1977,23,174256.26579814553
12269,55,2,57,33,9,6,22.0,2005,4,277934.3597543377
11396,27,3,85,86,10,3,17.0,2016,3,237651.01434877512
14981,27,2,64,32,6,6,17.0,1977,3,204607.9119496668
6391,1,2,61,32,6,5,24.0,1977,1,140972.87596223038
10058,1,1,39,32,6,14,17.0,1977,1,142273.8988449367
2026,44,3,83,52,10,23,23.0,2008,3,117667.7428196212
2696,27,2,55,27,8,7,5.0,1991,3,144381.98099913108
8903,132,1,36,19,6,8,9.0,1982,19,214874.48615919767
13032,106,2,62,37,10,5,17.0,2001,3,246745.72492517237
4233,27,1,34,21,6,7,5.0,1970,3,98494.92890917412
8359,53,1,40,20,8,16,16.0,1985,3,208197.76619204012
3123,90,1,39,24,9,4,12.0,1969,2,161610.48443519475
3007,13,1,39,21,7,12,17.0,2004,15,184312.64764692265
5025,163,2,53,33,8,12,12.0,1984,19,395152.2960912981
16679,27,2,69,32,6,6,13.0,1977,1,150119.14912895506
7700,1,1,44,32,6,17,17.0,1977,1,135253.30325413
9856,58,2,46,27,6,10,9.0,1969,1,190875.91354442766
7860,20,2,54,26,6,5,23.0,2011,5,281981.09390709066
1690,27,1,45,22,12,5,22.0,1977,3,155802.45351011286
11422,6,1,49,32,6,2,25.0,1977,3,138060.93794918538
14110,1,1,44,41,10,2,17.0,2013,1,81453.44979153345
2752,52,2,65,67,6,16,17.0,1977,5,186142.08714358576
9758,75,1,41,19,8,8,17.0,1999,3,201802.71194597386
6236,123,3,70,42,8,6,16.0,1980,4,327577.3255763727
